id,name,full_name,html_url,description,language,stargazers_count,forks_count,created_at,updated_at
37320193,ChineseWordSegmentation,Moonshile/ChineseWordSegmentation,https://github.com/Moonshile/ChineseWordSegmentation,Chinese word segmentation algorithm without corpusï¼ˆæ— éœ€è¯­æ–™åº“çš„ä¸­æ–‡åˆ†è¯ï¼‰,Python,500,121,2015-06-12T12:15:10Z,2025-11-18T15:31:59Z
139727733,pytorch-relation-extraction,ShomyLiu/pytorch-relation-extraction,https://github.com/ShomyLiu/pytorch-relation-extraction,"distant supervised relation extraction models: PCNN MIL (Zeng 2015), PCNN+ATT(Lin 2016). å…³ç³»æŠ½å–",Python,500,116,2018-07-04T13:44:15Z,2025-08-10T06:28:01Z
225114697,NTLMRecon,pwnfoo/NTLMRecon,https://github.com/pwnfoo/NTLMRecon,Enumerate information from NTLM authentication enabled web endpoints ğŸ”,Python,500,72,2019-12-01T06:06:30Z,2025-12-09T13:35:11Z
292107115,model_analyzer,triton-inference-server/model_analyzer,https://github.com/triton-inference-server/model_analyzer,Triton Model Analyzer is a CLI tool to help with better understanding of the compute and memory requirements of the Triton Inference Server models.,Python,500,80,2020-09-01T21:03:58Z,2025-12-10T21:06:15Z
43628779,python-constraint,python-constraint/python-constraint,https://github.com/python-constraint/python-constraint,Constraint Solving Problem resolver for Python,Python,500,71,2015-10-04T07:38:20Z,2025-12-01T22:41:17Z
65086788,osm-liberty,maputnik/osm-liberty,https://github.com/maputnik/osm-liberty,A free Mapbox GL basemap style for everyone,Python,500,101,2016-08-06T14:41:20Z,2025-11-27T09:15:17Z
271067003,VideoCrawlerEngine,ZSAIm/VideoCrawlerEngine,https://github.com/ZSAIm/VideoCrawlerEngine,èµ·æºäºæ—§é¡¹ç›®çˆ±å¥‡è‰ºè§£æå™¨(iqiyi-parser)åœ¨å¼€å‘ã€ç»´æŠ¤å’Œæ‰©å±•çš„è¿‡ç¨‹ä¸­é‡åˆ°çš„ä¸€äº›é—®é¢˜ï¼Œè€Œå®ç°çš„ä¸€ä¸ªåŸºäºä»»åŠ¡æµå¼çš„å¯è§†åŒ–çˆ¬è™«å¼•æ“ã€‚å¼•æ“çš„æ‰§è¡Œå•å…ƒæ˜¯èŠ‚ç‚¹ã€‚è„šæœ¬èŠ‚ç‚¹(script)ä½œä¸ºæ ¹èŠ‚ç‚¹æ¥å®Œæˆå¯¹èŠ‚ç‚¹å’Œæµç¨‹çš„æè¿°ï¼Œç»ç”±ä»»åŠ¡èŠ‚ç‚¹(task)è§£ææµç¨‹æè¿°å¹¶ç”ŸæˆèŠ‚ç‚¹çš„æ‰§è¡Œé˜Ÿåˆ—ï¼Œæœ€åäº¤ç”±å·¥ä½œè€…æ‰§è¡Œæ± å¤„ç†ã€‚æ•´ä¸ªè¿‡ç¨‹å¯è§†å¯æ§ï¼Œæ‰€æœ‰èŠ‚ç‚¹å¤„ç†å™¨éƒ½ä»¥æ’ä»¶çš„å½¢å¼å¯¼å…¥ï¼Œä»¥æœ€å¤§ç¨‹åº¦å®ç°æ˜“æ‰©å±•æ€§ã€‚,Python,500,93,2020-06-09T17:27:09Z,2025-12-07T03:14:22Z
126385168,hpc-container-maker,NVIDIA/hpc-container-maker,https://github.com/NVIDIA/hpc-container-maker,HPC Container Maker,Python,500,98,2018-03-22T19:26:41Z,2025-11-29T22:39:26Z
53002916,httplib2,httplib2/httplib2,https://github.com/httplib2/httplib2,"Small, fast HTTP client library for Python. Features persistent connections, cache, and Google App Engine support. Originally written by Joe Gregorio, now supported by community.",Python,500,187,2016-03-02T22:59:52Z,2025-12-05T06:25:10Z
702273375,Umi-OCR_plugins,hiroi-sora/Umi-OCR_plugins,https://github.com/hiroi-sora/Umi-OCR_plugins,Umi-OCR æ’ä»¶åº“,Python,500,49,2023-10-09T01:38:29Z,2025-12-09T07:25:18Z
